f,CH1,CH2,Ratio,dB
10,6.2,7.5,1.20967741935484,0.826695738934462
12,14.6,20.9,1.43150684931507,1.55793430326617
14,11.2,18.6,1.66071428571429,2.20294921547735
15,14.1,24.5,1.73758865248227,2.39946971709153
16,13.3,24.6,1.84962406015038,2.67083466136293
17,12.3,24.3,1.97560975609756,2.95701162158914
18,11.8,24.6,2.08474576271186,3.19053099797254
19,12,28,2.33333333333333,3.67976785294594
20,12.6,32.7,2.5952380952381,4.14177207542723
21,13.5,37.3,2.76296296296296,4.41375063313681
22,14.5,43.8,3.02068965517241,4.80106108269125
23,16.5,50.3,3.04848484848485,4.84084040842021
24,19.8,59.1,2.98484848484848,4.74922290619724
25,24,69,2.875,4.58637849025649
26,19.1,51.3,2.68586387434555,4.29083997864089
28,20.4,46.7,2.28921568627451,3.59686713140213
30,19.8,38.4,1.93939393939394,2.87666034106
35,17.8,23.6,1.32584269662921,1.22492000661213
40,36.2,34.9,0.964088397790055,-0.158831435739858
50,32.4,23.5,0.725308641975309,-1.39477147934876
60,27.8,15.5,0.557553956834532,-2.53713097747785
70,32.2,14.9,0.462732919254658,-3.34669603283557
80,28.1,10.8,0.384341637010676,-4.1528256441813
90,34.5,13.5,0.391304347826087,-4.07485326578268
100,32.8,10.9,0.332317073170732,-4.78447345771055
120,31.2,5.97,0.191346153846154,-7.18180262889074
140,28.2,3.98,0.14113475177305,-8.50366036245673
160,28.2,3.4,0.120567375886525,-9.18770191277106
180,29.2,3.28,0.112328767123288,-9.49509007736739
200,31.4,3.15,0.10031847133758,-9.98619094283614
